from,to,relation
la12,gga20,2
la12,ba93,2
gga20,ba93,2
dc09,cc15,2
la12,mmf09,0
la12,gt07,0
la12,dc09,0
mcvc12,dc09,1
la12,ss05,0
la12,mcvc12,0
cc15,mcvc12,2
gga20,gt07,1
gga20,dc09,0
gga20,mmf09,0
gga20,mcvc12,0
gga20,ba93,0
gga20,ss05,0
gga20,fbs13,0
gga20,cc15,0
gt07,dc09,0
gt07,mmf09,0
gt07,mcvc12,1
gt07,ba93,0
gt07,ss05,0
gt07,fbs13,0
gt07,cc15,0
mmf09,dc09,0
mmf09,mcvc12,0
mmf09,ba93,0
mmf09,ss05,0
mmf09,fbs13,0
mmf09,cc15,0
dc09,ba93,0
dc09,ss05,0
dc09,fbs13,2
mcvc12,ba93,0
mcvc12,ss05,0
mcvc12,fbs13,1
ba93,ss05,0
ba93,fbs13,1
ba93,cc15,1
ss05,fbs13,0
ss05,cc15,1
fbs13,cc15,2
