id,name,death,region,organization,role,birth,type
1,la12,2007,2,Liberation,Mitbegründerin,1912,Person
2,la12,2007,2,combat,Organisatorin,1912,Person
3,mmf89,1989,1,ReseauAlliance,Spionageleitung,1909,Person
4,gt07,2008,1,MuséelHomme,Mitbegründerin,1907,Person
5,gga20,2002,1,combat,Kurierin,1920,Person
6,dc09,1943,1,PCF,Mitbegründerin,1909,Person
7,dc09,1943,1,KommiFrauen,Leiterin,1909,Person
8,mcvc12,1996,1,FrontNational,journalistin,1912,Person
9,ba93,1943,2,combat,Mitbegründerin,1893,Person
10,ss05,1944,1,RoteKapelle,Ressourcen,1905,Person
11,fbs13,1943,1,FTP,Chemikerin,1913,Person
12,cc15,1945,1,PCF,Mitglied,1915,Person
13,cc15,1945,1,union,Mitbegründerin,1915,Person
