from,to,relation,
ba93,com,1,
la12,ba93,1,
gga20,ba93,1,
dc09,humanite,1,
mcvc12,ba93,1,
mcvc12,dc09,4,
cc15,mcvc12,1,
gga20,gt07,4,
mcvc12,gt07,4,
dc09,fbs13,1,
mcvc12,fbs13,2,
ba93,fbs13,2,
ba93,cc15,2,
ss05,cc15,2,
fbs13,cc15,1,
la12,libsud,1,
gga20,defense,1,
mcvc12,humanite,1,
gt07,et76,3,
mf21,hb21,2,
aj16,ad22,2,
ad22,md21,3,
et76,gga20,4,
md09,mt01,2,
jf25,mf21,6,
jf25,gga20,6,
jf25,gt07,6,
hi13,hk13,4,
hi13,rl00,4,
rl00,hk13,4,
md80,frl,1,
ed08,kpd,1,
md09,ose,1,
md14,cdl,1,
gf01,mlnnord,1,
mf21,rj,1,
hb21,ugif,1,
jf25,rmi,1,
jf25,defense,1,
lf24,eif,1,
sg21,rot,1,
pd22,eif,1,
mh05,ffl,1,
ah94,mlh,1,
hi13,ftp,1,
aj16,comete,1,
dh20,fdb,1,
hk21,ftp,1,
ad22,comete,1,
md21,comete,1,
et76,mlh,1,
mma26,rb,1,
jb06,ffl,1,
jb06,db,1,
ab23,pcf,1,
ob12,ftpmoi,1,
mbv21,rkoe,1,
rcg17,raa,1,
rcg17,ojc,1,
mcl23,rg,1,
mc22,ojc,1,
mc22,mjs,1,
yc09,soe,1,
yb11,soe,1,
nik14,soe,1,
md17,soe,1,
ep17,soe,1,
cd13,gp,1,
hsl09,pcf,1,
mcl23,mcvc12,6,
mcl23,fbs13,6,
yb11,nik14,6,getötet
yb11,md17,6,getötet
yb11,ep17,6,getötet
yc09,yb11,2,
yc09,nik14,2,
cd13,mcvc12,6,
cd13,dc09,6,
cd13,ah06,6,
cd13,hsl09,6,
nw24,mz,1,
ew18,scoutisme,1,
nw12,soe,1,
nw12,rpol,1,
hv17,defense,1,
rv98,cdra,1,
et09,ll,1,
et96,ll,1,
et96,gpu,1,
mls14,mitn,1,
ds13,ftpmoi,1,
es24,ocmj,1,
is20,ta,1,
hv17,gga20,1,
iw10,is20,1,
iw10,ta,1,
is20,ta,1,
dc09,pcf,1,
mcvc12,pcf,1,
mm21,rj,1,
mm21,jf25,4,
nik14,soe,1,
nik14,lr14,2,
nik14,vs21,4,
hk13,ftpmoi,1,
hk13,hi13,4,
hk13,hi13,2,
hk13,rl06,4,
hk13,rl06,2,
rl00,ftpmoi,1,
rl06,mlh,1,
rl06,gt07,2,
rl06,gga20,2,
ll16,pcf,1,
ll16,ftp,1,
ll16,al03,5,
sm01,pcf,1,
sm01,fbs13,4,
am22,pcf,1,
pn19,eif,1,
rn23,gjm,1,
rn23,rmi,1,
sp17,com,1,
sp17,ml18,3,
mr24,ffi,1,
ér90,kr,1,
cr19,ml,1,
lr14,soe,1,
lr14,nik14,2,
lr14,yb11,2,
js24,ftp,1,
es24,cv,1,
is20,oek,1,
ss05,rot,1,
vs21,soe,1,
gb04,soe,1,
gb04,yb11,4,
gs15,rkoe,1,
jh16,rkoe,1,
ef14,rkoe,1,
kf18,rkoe,1,
mbv21,gs15,2,
id19,rkd,1,
mbv21,id19,2,
gg16,rkoe,1,
mbv21,gg16,2,
li,rkoe,1,
mbv21,li,2,
gs04,soe,1,
cg90,fl,1,
cg90,ffl,1,
ra14,libsud,1,
ra14,la12,5,
ra14,la12,2,
hf05,com,1,
jm99,cnr,1,
jm99,ra14,4,
ha14,com,1,
jm99,ha14,4,
rh11,com,1,
jm99,rh11,4,
ea00,libsud,1,
jc03,libsud,1,
bv08,mlh,1,
al03,mlh,1,
bv08,al03,4,getötet
gb99,cnr,1,
ac13,com,1,
pb03,com,1,
pb03,mur,1,
ig08,rpol,1,
ig08,md80,2,
at01,md09,2,
at01,mt01,5,
ra17,mnpg,1,
ra17,md14,5,
mf17,rc,1,
mf17,libnord,1,
mf17,gf01,5,
jc03,gf01,3,
jc03,rc,1,
hi14,sg21,2,
hi14,rot,1,
am13,rot,1,
am13,sg21,2,
jh86,ffl,1,
jh86,mh05,5,
fdj97,comete,1,
fdj97,aj16,3,
jn19,comete,1,
jn19,aj16,2,
ad07,comete,1,
ad07,aj16,2,
ad07,hb00,3,
hb00,comete,1,
hb00,aj16,2,
ab19,soe,1,
vl03,soe,1,
so23,soe,1,
dr15,soe,1,
os12,soe,1,
md17,ab19,4,
vl03,ab19,4,
so23,ab19,4,
dr15,ab19,4,
os12,ab19,4,
yb11,ab19,4,
ep17,ab19,4,
vl03,md17,4,
so23,md17,4,
dr15,md17,4,
os12,md17,4,
ep17,md17,4,
so23,vl03,4,
dr15,vl03,4,
os12,vl03,4,
yb11,vl03,4,
ep17,vl03,4,
dr15,so23,4,
os12,so23,4,
yb11,so23,4,
ep17,so23,4,
os12,dr15,4,
yb11,dr15,4,
ep17,dr15,4,
yb11,os12,4,
ep17,os12,4,
ep17,yb11,4,
ab19,dr15,6,
vl03,dr15,6,
so23,dr15,6,
vl03,ab19,6,
so23,ab19,6,
vl03,so23,6,
eb81,rpol,1,
gb44,rpol,1,
ag11,rpol,1,
pc13,rpol,1,
sr20,libsud,1,
jm99,sr20,3,
sr20,jbb05,3,
sr20,la12,3,
sr20,ra14,3,
jbb05,sr20,1,
jbb05,libsud,1,
jbb05,libnord,1,
jbb05,la12,1,
jbb05,ra14,1,
ea00,jbb05,1,
cp04,libnord,1,
cp04,jbb05,1,
cp04,rc,1,
cp04,jm99,2,
cp04,cg90,2,
jbb05,cg90,1,
cp04,cg90,1,
cd79,com,1,
cd79,libsud,1,
cd79,ft,1,
cd79,cg90,2,
cd79,jm99,2,
cd79,hf05,2,
cd79,cp04,2,
yv06,libnord,1,
yv06,cp04,5,
ab08,fl,1,
ab08,jm99,2,
ab08,jbb05,6,
pf98,fl,1,
pf98,ab08,1,
pf98,cg90,2,
pf98,hf05,2,
pf98,ea00,2,
ba93,hf05,1,
yo02,mlh,1,
nik14,nw12,1,
nik14,nw12,2,
gt07,yo02,1,
ew18,ffc,1,
rd24,groupeg,1,
rc23,sr,1,
fc23,pa,1,
fb26,mp,1,
mbh26,sra,1,
cc26,mdb,1,
sz22,mur,1,
mdc24,mm,1,
mbv21,gs15,2,
kf18,ef14,2,
kf18,ef14,6,
cg90,fl,1,
cg90,ffl,1,
hf05,mln,1,
jm99,cg90,2,
hf05,jm99,2,
hf05,cg90,2,
ha14,jm99,4,
ha14,ra14,4,
ha14,rh11,4,
ea00,cg90,2,
ea00,jm99,2,
ea00,ra14,2,
ea00,la12,2,
bv08,al03,2,
gb99,jm99,2,
gb99,cg90,2,
pb03,cds,1,
pb03,mlh ,1,
pb03,jm99,2,
pb03,cg90,2,









