id,name,type,birth,death,region,nationality,death_cause,death_place,role,activity,arrested,kz,fled,rescued,gender
la12,Lucie Aubrac,1,1912,2007,Lyon,french,natural,Paris,founder,refugee,2,2,NA,NA,1
mmf09,Marie-Madeleine Fourcade,1,1909,1989,Paris,french,natural,Paris,leader,messenger,2,2,NA,NA,1
gt07,Germaine Tillion,1,1907,2008,Paris,french,natural,Saintmande,member,refugee,1,1,NA,1,1
gga20,Genevieve de Gaulle-Anthonoiz,1,1920,2002,Paris,french,natural,Paris,member,NA,1,1,NA,1,1
dc09,Danielle Casanova,1,1909,1943,Paris,french,illness,Auschwitz,member,armed,1,2,NA,1,1
mcvc12,Marie-Claude Vailliant-Coutrier,1,1912,1996,Paris,french,natural,Villejuif,member,armed,1,1,NA,1,1
ba93,Berty Albrecht,1,1893,1943,Lyon,french,suicide,Paris,founder,refugee,1,1,NA,NA,1
ss05,Suzanne Spaak,1,1905,1944,Paris,belgian,executed,Paris,leader,refugee,1,2,NA,NA,1
fbs13,France Bloch-Serazin,1,1913,1943,Paris,french,executed,Hamburg,member,armed,1,2,NA,NA,1
cc15,Claudine Chomat,1,1915,1945,Paris,french,NA,BoulogneBillancourt,leader,NA,2,2,NA,NA,1
ad22,Andrée Dumon,1,1922,2025,Brussels,belgian,natural,Nivelles,member,refugee,1,1,NA,1,1
md21,Micheline Dumon,1,1921,2017,Brussels,belgian,natural,SaintSiffret,member,refugee,1,NA,NA,NA,1
et76,Émilie Tillion,1,1876,1945,Talizat,french,executed,Ravensbrück,member,refugee,1,1,NA,NA,1
ep17,Eliane Plewman,1,1917,1944,Lille,british,executed,Dachau,member,spionage,1,1,NA,NA,1
md17,Madeleine Damerment,1,1917,1944,Lille,french,executed,Dachau,member,spionage,1,1,NA,NA,1
yb11,Yolande Beekman,1,1911,1944,Saint-Quentin,british,executed,Dachau,member,spionage,1,,NA,NA,NA
mma26,Michele Moet Agniel,1,1926,NA,Paris,french,NA,NA,member,messenger,1,1,NA,NA,NA
jb06,Josephine Baker,1,1906,1975,Dordogne,french,illness,Paris,member,spionage,NA,1,NA,NA,1
ab23,Anne Beaumanoir,1,1923,2022,Bretagne,french,natural,Bretagne,member,refugee,NA,NA,NA,1,1
ob12,Olga Bancic,1,1912,1943,Paris,jewishromanian,executed,Stuttgart,member,armed,1,NA,NA,NA,1
mbv21,Mélanie Berger-Volle,1,1921,NA,Paris,austrianfrench,NA,NA,member,messenger,1,NA,NA,NA,1
rcg17,Rachel Cheigam Grundstein,1,1917,2018,Nice,jewishlithuanian,NA,Garches,member,refugee,1,NA,NA,NA,1
mcl23,Marie Josee Chombat de Lauwe,1,1923,NA,Bretagne,french,NA,NA,member,messenger,1,NA,1,1,1
mc22,Marianne Cohn,1,1922,1944,Haute-Savoie,jewish,executed,Villelagrand,member,refugee,1,1,NA,NA,1
yc09,Yvonne Cormenau,1,1909,1997,Gascone,british,natural,Fleet,member,spionage,NA,NA,NA,1,1
cd13,Charlotte Delbo,1,1913,1985,Paris,french,illness,Paris,member,messenger,1,NA,NA,NA,1
rd24,Rose Deroubaix,1,1924,NA,NA,NA,NA,NA,member,NA,NA,1,NA,NA,1
rc23,Regine Chatelain,1,1923,NA,NA,NA,NA,NA,member,NA,NA,NA,NA,1,1
fc23,Fernande Carlier,1,1923,NA,NA,NA,NA,NA,member,NA,NA,NA,NA,NA,1
fb26,Fernande Brouwez,1,1926,2021,NA,NA,NA,NA,member,NA,NA,NA,NA,NA,1
mbh26,Marguérite Bouillon-Housiau,1,1926,2020,NA,NA,NA,NA,member,NA,NA,NA,NA,NA,1
cc26,Chatenay-Crémer,1,1926,2014,NA,NA,NA,NA,member,NA,NA,NA,NA,NA,1
sz22,Suzanne Citron,1,1922,2018,NA,NA,NA,NA,member,NA,NA,NA,NA,NA,1
mdc24,Marie Dorothée de Croy,1,1924,2005,NA,NA,NA,NA,member,NA,NA,NA,NA,NA,1
hsl09,Hélène Solomon-Langevin,1,1909,1995,NA,french,natural,Sens,NA,messenger,1,NA,NA,NA,1
es24,Évelyne Sullerot,1,1924,2017,Nimes,french,illness,N/A,member,NA,1,NA,NA,NA,1
is20,Irma Schwager,1,1920,2015,NA,austrian,natural,Vienna,member,,2,2,2,NA,1
ds13,Dora Schaul,1,1913,1999,Lyon,german,natural,Berlin,member,spionage,1,1,1,2,1
mls14,Marie-Louise Streisguth,1,1914,2005,NA,french,NA,NA,NA,NA,NA,1,1,2,1
et96,Elsa Triolet,1,1896,1970,Nice,french,natural,Moskau,member,messenger,1,1,2,2,1
rv98,Rose Valland,1,1898,1980,Paris,french,natural,Ris-orangis,NA,messenger,2,2,2,1,1
hv17,Hélène Viannay,1,1917,2006,NA,french,natural,Paris,member,press,2,2,2,2,1
nw12,Nancy Wake,1,1912,2011,NA,new zealander,natural,London,member,armed,2,2,2,2,1
ew18,Emmy Weisheimer,1,1918,NA,Strasbourg,french,NA,NA,member,NA,NA,NA,NA,NA,1
nw24,Nelly Willer,1,1924,NA,Nice,french,NA,NA,member ,armed,2,2,2,2,1
iw10,Irene Wosikowski,1,1910,1944,Marseille,german,NA,NA,NA,NA,NA,NA,NA,NA,1
hb21,Hélène Berr,1,1921,1945,Paris,french,executed,Bergen-Belsen,member,NA,1,1,1,NA,1
et09,Edith Thomas,1,1909,1970,NA,french,NA,Paris,member,press,NA,1,NA,2,1
mt01,Magda Trocmé,1,1901,1996,Le Chambon-sur-Lignon,italian,natural,Poissy,member,refugee,NA,NA,NA,NA,1
mm21,Marie Médard,1,1921,2013,Paris,french,NA,NA,member,messenger,1,NA,NA,NA,1
nik14,Noor Inayat Khan,1,1914,1944,Paris,british,executed,Dachau,member,spionage,1,1,NA,NA,1
hk13,Hélène Kro,1,1913,1942,Paris,polish,suicide,Paris,member,armed,1,1,NA,1,1
rl06,Renée Lévy,1,1906,1943,Paris,NA,executed,Cologne,member,press,1,NA,NA,NA,1
ll16,Lise London,1,1916,2012,Paris,NA,natural,Paris,member,press,1,1,NA,NA,1
sm01,Suzanne Masson,1,1901,1943,Paris,french,executed,Hamburg,member,armed,1,1,NA,NA,1
am22,Andrée Monier-Blachère,1,1922,NA,Lyon,french,NA,NA,member,press,NA,1,NA,1,1
pn19,Paulette Neu,1,1919,NA,Toulouse,french,NA,NA,member,humanitarian,NA,NA,NA,NA,1
rn23,Renée Nourry-Souliman,1,1923,2013,Toulouse,french,natural,NA,member,courier,NA,NA,NA,NA,1
sp17,Simone Perl (Lévy),1,1917,2004,Lyon,french,natural,NA,member,press,NA,NA,NA,NA,1
mr24,Madeleine Riffaud,1,1924,NA,Paris,french,survived,NA,member,armed,1,NA,NA,NA,1
ér90,Élise Rivet,1,1890,1945,Lyon,french,executed,Ravensbrück,member,humanitarian,1,NA,NA,NA,1
cr19,Charline Roy Haag,1,1919,2013,Lomont,french,NA,NA,member,armed,NA,1,NA,1,1
lr14,Lilian Rolfe,1,1914,1945,Paris,french,executed,Ravensbrück,member,spionage,1,NA,NA,NA,1
js24,Jacqueline Sabatier,1,1924,NA,Drome,british,NA,NA,NA,NA,NA,1,NA,NA,1
vs21,Violette Szabo,1,1921,1945,Paris,british,executed,Ravensbrück,member,spionage,1,1,NA,NA,1
rl00,Rega Levine,1,NA,NA,Paris,french,NA,NA,member,NA,NA,1,NA,NA,1
md80,Marie Louise Dissard,1,1880,1957,Toulouse,french,natural,Toulouse,member,refugee,NA,NA,NA,1,1
ed08,Emmy Dörfel,1,1908,2002,Paris,german,natural,NA,member,NA,1,NA,NA,NA,1
md09,Madeleine Dreyfus,1,1909,1987,Lyon,french,natural,Paris,member,humanitarian,1,1,1,NA,1
md14,Marguerite Duras,1,1914,1996,Paris,french,natural,Saigon,member,culture,2,1,2,2,1
gf01,Gabrielle Ferrières,1,1901,2001,Paris,french,natural,Paris,member,refugee,1,2,2,1,1
mf21,Marie Fillet Médard,1,1921,2013,Paris,french,natural,Tours,member,messenger,1,2,2,2,1
jf25,Jacqueline Fleury,1,1925,2006,Versailles,french,natural,NA,member,press,1,1,2,2,1
lf24,Liliane Frisch,1,1924,NA,NA,german,NA,NA,member,refugee,NA,1,1,1,1
sg21,Sarah Goldberg,1,1921,2003,Toulouse,belgian,natural,NA,member,spionage,1,NA,NA,2,1
pd22,Paulette Guthwirth Dreyfus,1,1922,NA,Lyon,french,NA,NA,member,NA,NA,1,2,NA,1
mh05,Marie Hackin,1,1905,1941,International,french,accident,Färöer,member,armed,2,NA,NA,1,1
ah06,Adelaide Hautval,1,1906,1988,Auschwitz,french,suicide,Groslay,independent,humanitarian,1,2,2,NA,1
ah94,Agnès Humbert,1,1894,1963,Paris,french,NA,Valmondoise,member,press,1,1,2,2,1
hi13,Hélène Igla,1,1913,1943,Paris,french,NA,NA,member,armed,1,2,2,1,1
aj16,Andrée de Jongh,1,1916,2007,Brussels,belgian,natural,Brussels,founder,refugee,1,NA,NA,1,1
dh20,Doris Kahane,1,1920,1976,Cassis,german,NA,Berlin,member,press,1,1,NA,NA,1
hk21,Hanna Kamieniecki,1,1924,2020,Paris,polish,natural,Paris,member,armed,NA,1,2,NA,1
ab19,Andrée Borrel,1,1919,1944,NA,french,executed,Elsass,member,spionage,1,1,2,2,1
vl03,Vera Leigh,1,1903,1944,Tours,french,executed,Elsass,member,spionage,1,1,1,2,1
so23,Sonia Olschanezky,1,1923,1944,Chalons-sur-Marne,german,executed,Elsass,member,spionage,1,1,2,2,1
dr15,Diana Rowden,1,1915,1944,Angers,french,executed,Elsass,member,spionage,1,1,2,2,1
os12,Odette Sansom,1,1912,1995,Cassis,british,natural,NA,member,spionage,1,2,1,2,1
yv06,Yvonne Tillaut,1,1906,NA,Lyon,french,NA,NA,memer,press,2,2,2,2,1
yo02,Yvonne Oddon,1,1902,1982,Paris,french,natural,Menglon,founder,press,1,1,2,1,1
ah94,Agnès Humbert,1,1894,1963,Paris,french,natural,Valmondois,founder,press,1,2,2,1,1
com,Combat,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pcf,Partie Communiste,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mlh,Groupe du Musée de l'Homme,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
libnord,Liberation-Nord,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rot,Rote Kapelle,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ftp,Franc-Tireurs et Partisans ,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
pa,Partisans armes,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mp,Milices Patriotiques,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
eif,Eclaireurs Israelites de France,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
humanite,L'Humanite,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ojc,Organisation juive de combat,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sra,Solidarite Ravaillac,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
scoutisme,Groupe du scoutisme feminin,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
kpd,Kommunistische Partei Deutschlands,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mz,Mouvement Zioniste,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ftpmoi,Franc-Tireurs et Partisans - Main-d’Œuvre Immigrée ,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
